CPQ ID,Account ID,CreatedDate,Product Group, X36 MRC List , X36 NRR List , X36 NPV List ,Building ID,Market,Street Address,City,State,Postal Code,Network Proximity,On Zayo Network Status
CPQ-000094,Acct-000052,10/6/16,IP Services," $6,891.07 "," $4,610.00 "," $115,490.50 ",Bldg-366026,Dallas,901 W Yellow Jacket Ln,Rockwall,TX,75087,1027,Not on Zayo Network
CPQ-000095,Acct-000034,10/6/16,Ethernet," $2,861.28 ", $-   ," $52,901.68 ",Bldg-012582,Atlanta,56 Marietta St NW,Atlanta,GA,30303,66.45,On Zayo Network
CPQ-000095,Acct-000034,10/6/16,Ethernet," $2,861.28 ", $-   ," $52,901.68 ",Bldg-065056,Dallas,2323 Bryan St,Dallas,TX,75201,64.67,On Zayo Network
CPQ-000096,Acct-000013,10/6/16,Ethernet, $512.42 , $461.00 ," $8,769.87 ",Bldg-038241,Atlanta,5555 Windward Pkwy,Alpharetta,GA,30004,313.64,On Zayo Network
CPQ-000097,Acct-000053,10/6/16,Wavelengths - Metro," $5,464.12 "," $1,383.00 "," $49,508.95 ",Bldg-065056,Dallas,2323 Bryan St,Dallas,TX,75201,64.67,On Zayo Network
CPQ-000097,Acct-000053,10/6/16,Wavelengths - Metro," $5,464.12 "," $1,383.00 "," $49,508.95 ",Bldg-109817,Dallas,220 E Las Colinas Blvd,Irving,TX,75039,476.55,Not on Zayo Network
CPQ-000098,Acct-000034,10/6/16,Ethernet," $2,750.64 ", $-   ," $48,953.27 ",Bldg-065056,Dallas,2323 Bryan St,Dallas,TX,75201,64.67,On Zayo Network
CPQ-000099,Acct-000054,10/6/16,zColo, $-   , $-   , $-   ,Bldg-120678,Dallas,6606 Lyndon B Johnson Fwy,Dallas,TX,75240,601.38,On Zayo Network
CPQ-000100,Acct-000054,10/6/16,IP Services," $2,109.81 ", $922.00 ," $44,655.12 ",Bldg-120678,Dallas,6606 Lyndon B Johnson Fwy,Dallas,TX,75240,601.38,On Zayo Network
CPQ-000101,Acct-000054,10/6/16,Ethernet," $1,418.96 ", $922.00 ," $22,580.69 ",Bldg-120678,Dallas,6606 Lyndon B Johnson Fwy,Dallas,TX,75240,601.38,On Zayo Network
CPQ-000101,Acct-000054,10/6/16,Ethernet," $1,418.96 ", $922.00 ," $22,580.69 ",Bldg-116452,Dallas,3811 Turtle Creek Blvd,Dallas,TX,75219,605.15,On Zayo Network
CPQ-000102,Acct-000052,10/6/16,IP Services," $13,048.61 "," $4,610.00 "," $260,224.38 ",Bldg-366026,Dallas,901 W Yellow Jacket Ln,Rockwall,TX,75087,1027,Not on Zayo Network
CPQ-000103,Acct-000055,10/6/16,Wavelengths - Long Haul," $4,733.58 "," $2,876.65 ", $-   ,Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,On Zayo Network
CPQ-000104,Acct-000056,10/6/16,Wavelengths - Long Haul," $11,507.18 "," $2,766.00 ", $-   ,Bldg-065056,Dallas,2323 Bryan St,Dallas,TX,75201,64.67,On Zayo Network
CPQ-000105,Acct-000042,10/6/16,Wavelengths - Long Haul," $2,929.56 "," $2,996.50 ", $-   ,Bldg-127057,Dallas,1649 W Frankford Rd,Carrollton,TX,75007,630.74,On Zayo Network
CPQ-000106,Acct-000039,10/6/16,Ethernet," $1,720.35 ", $461.00 ," $12,113.72 ",Bldg-461158,Denver,7604 Technology Way,Denver,CO,80237,757.47,Build in Progress
CPQ-000107,Acct-000057,10/6/16,Ethernet," $3,152.24 ", $922.00 ," $21,301.81 ",Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,On Zayo Network
CPQ-000108,Acct-000058,10/6/16,Ethernet," $1,016.45 ", $922.00 ," $22,110.77 ",Bldg-122290,Dallas,4121 International Pkwy,Carrollton,TX,75007,1250,On Zayo Network
CPQ-000109,Acct-000039,10/6/16,Ethernet, $824.36 , $461.00 ," $16,342.12 ",Bldg-115602,Atlanta,3000 Northwoods Pkwy NW,Norcross,GA,30071,276.86,On Zayo Network
CPQ-000110,Acct-000009,10/6/16,Ethernet," $5,935.30 ", $-   ," $40,241.13 ",Bldg-081139,Denver,3600 S Beeler St,Denver,CO,80237,780.09,On Zayo Network
CPQ-000111,Acct-000059,10/6/16,Ethernet," $1,512.76 ", $922.00 ," $15,553.62 ",Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,On Zayo Network
CPQ-000112,Acct-000059,10/6/16,IP Services, $729.43 , $922.00 ," $16,098.59 ",Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,On Zayo Network
CPQ-000113,Acct-000009,10/6/16,Ethernet," $1,115.26 ", $922.00 ," $20,931.09 ",Bldg-012582,Atlanta,56 Marietta St NW,Atlanta,GA,30303,66.45,On Zayo Network
CPQ-000113,Acct-000009,10/6/16,Ethernet," $1,115.26 ", $922.00 ," $20,931.09 ",Bldg-060322,Atlanta,6120 Powers Ferry Rd,Atlanta,GA,30339,299.34,On Zayo Network
CPQ-000114,Acct-000059,10/6/16,Ethernet," $1,154.75 ", $922.00 ," $21,980.74 ",Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,On Zayo Network
